Timestamp,Source_IP,Destination_IP,Port,Protocol,Packet_Size,Label
2025-12-06 11:21:20.479353,60.174.207.130,168.93.138.224,49927,UDP,917,DoS
2025-12-06 11:21:21.479353,220.73.224.41,101.207.186.30,42403,TCP,163,Normal
2025-12-06 11:21:22.479353,13.149.25.54,188.250.250.62,84,TCP,276,PortScan
2025-12-06 11:21:23.479353,24.59.55.142,197.100.110.210,80,TCP,385,SQLi
2025-12-06 11:21:24.479353,72.113.253.60,143.45.79.244,8533,UDP,552,Normal
2025-12-06 11:21:25.479353,168.98.251.234,156.165.207.26,18889,TCP,391,Normal
2025-12-06 11:21:26.479353,136.85.164.171,26.19.149.185,53736,UDP,1248,Normal
2025-12-06 11:21:27.479353,91.244.16.68,167.21.59.195,65329,ICMP,794,Normal
2025-12-06 11:21:28.479353,56.67.167.230,25.18.7.161,33584,UDP,446,Normal
2025-12-06 11:21:29.479353,120.36.18.140,197.19.221.223,80,TCP,340,XSS
2025-12-06 11:21:30.479353,8.240.36.1,212.237.76.165,30490,UDP,90,Normal
2025-12-06 11:21:31.479353,19.62.115.140,196.117.129.35,31252,TCP,346,Normal
2025-12-06 11:21:32.479353,230.111.211.59,202.6.215.116,20027,UDP,1306,DoS
2025-12-06 11:21:33.479353,10.252.232.90,70.31.105.213,164,TCP,246,PortScan
2025-12-06 11:21:34.479353,119.96.77.67,47.162.117.238,29599,TCP,423,Normal
2025-12-06 11:21:35.479353,75.139.11.23,69.228.235.47,169,TCP,72,PortScan
2025-12-06 11:21:36.479353,181.127.212.175,96.70.45.168,9621,UDP,1076,Normal
2025-12-06 11:21:37.479353,18.154.47.165,94.252.159.80,6363,ICMP,224,Normal
2025-12-06 11:21:38.479353,135.137.116.58,21.67.64.38,3812,TCP,1037,Normal
2025-12-06 11:21:39.479353,191.80.236.241,104.80.251.3,64699,UDP,1446,Normal
2025-12-06 11:21:40.479353,92.205.186.61,255.39.244.178,25945,ICMP,988,Normal
2025-12-06 11:21:41.479353,180.227.140.31,53.145.111.195,59355,ICMP,693,Normal
2025-12-06 11:21:42.479353,217.64.176.187,122.109.230.104,54593,TCP,1500,Normal
2025-12-06 11:21:43.479353,140.98.77.162,67.76.87.35,38622,TCP,1325,Normal
2025-12-06 11:21:44.479353,116.2.230.230,129.197.72.97,43077,UDP,1439,Normal
2025-12-06 11:21:45.479353,147.50.161.169,191.105.221.50,15169,TCP,392,Normal
2025-12-06 11:21:46.479353,183.12.128.93,181.1.164.13,39476,UDP,65,Normal
2025-12-06 11:21:47.479353,88.217.204.192,77.158.77.225,36070,ICMP,733,Normal
2025-12-06 11:21:48.479353,44.30.187.166,112.40.138.99,25583,ICMP,1398,Normal
2025-12-06 11:21:49.479353,101.137.96.252,45.104.242.14,52479,UDP,1074,Normal
2025-12-06 11:21:50.479353,210.231.201.200,78.147.31.244,27293,ICMP,1387,Normal
2025-12-06 11:21:51.479353,165.227.19.134,203.163.25.221,43591,UDP,299,Normal
2025-12-06 11:21:52.479353,58.114.213.171,83.99.27.183,58112,TCP,995,Normal
2025-12-06 11:21:53.479353,18.119.144.185,243.208.99.26,64390,UDP,450,Normal
2025-12-06 11:21:54.479353,106.205.64.214,128.66.48.21,22621,UDP,1261,DoS
2025-12-06 11:21:55.479353,27.96.232.220,48.163.19.55,47308,TCP,1030,Normal
2025-12-06 11:21:56.479353,4.204.254.83,151.250.57.218,1459,TCP,1090,Normal
2025-12-06 11:21:57.479353,139.73.1.137,99.214.126.218,21940,ICMP,1350,Normal
2025-12-06 11:21:58.479353,228.243.169.81,109.20.1.54,26,TCP,124,PortScan
2025-12-06 11:21:59.479353,123.90.129.165,9.135.77.35,5305,TCP,293,Normal
2025-12-06 11:22:00.479353,185.186.40.201,217.98.156.235,34674,ICMP,1132,Normal
2025-12-06 11:22:01.479353,76.253.90.174,187.194.222.226,53693,TCP,655,Normal
2025-12-06 11:22:02.479353,233.151.64.39,152.67.244.171,80,TCP,470,XSS
2025-12-06 11:22:03.479353,194.16.61.167,166.10.156.172,45568,ICMP,255,Normal
2025-12-06 11:22:04.479353,121.77.199.191,52.189.99.203,61876,ICMP,1151,Normal
2025-12-06 11:22:05.479353,130.130.81.11,42.248.162.152,18517,TCP,1293,Normal
2025-12-06 11:22:06.479353,15.83.231.213,17.214.220.180,34085,ICMP,1330,Normal
2025-12-06 11:22:07.479353,161.234.254.13,167.243.53.141,27834,TCP,281,Normal
2025-12-06 11:22:08.479353,240.233.208.103,37.197.20.84,57968,ICMP,263,Normal
2025-12-06 11:22:09.479353,136.139.109.47,190.203.235.81,41479,TCP,432,Normal
2025-12-06 11:22:10.479353,153.223.96.229,219.29.16.97,22250,UDP,837,Normal
2025-12-06 11:22:11.479353,179.90.228.140,127.94.110.82,443,TCP,163,SQLi
2025-12-06 11:22:12.479353,100.119.10.61,51.231.213.54,64970,ICMP,1062,Normal
2025-12-06 11:22:13.479353,214.198.243.17,8.252.113.123,65,TCP,273,PortScan
2025-12-06 11:22:14.479353,100.14.109.139,190.245.166.224,18711,UDP,214,Normal
2025-12-06 11:22:15.479353,57.200.58.142,19.19.163.58,3298,TCP,967,Normal
2025-12-06 11:22:16.479353,42.43.14.172,134.252.245.187,16582,ICMP,583,Normal
2025-12-06 11:22:17.479353,118.240.130.136,131.9.2.217,31938,TCP,152,Normal
2025-12-06 11:22:18.479353,52.128.39.5,118.197.23.116,39262,TCP,1433,Normal
2025-12-06 11:22:19.479353,46.250.117.32,235.51.102.229,14640,UDP,144,Normal
2025-12-06 11:22:20.479353,240.18.190.108,130.151.249.35,34441,TCP,1048,Normal
2025-12-06 11:22:21.479353,37.61.81.198,87.51.168.193,1487,UDP,905,Normal
2025-12-06 11:22:22.479353,236.197.161.66,116.177.193.171,51398,ICMP,931,Normal
2025-12-06 11:22:23.479353,146.72.145.88,79.89.145.125,2560,TCP,573,Normal
2025-12-06 11:22:24.479353,55.82.150.4,235.57.235.54,54996,ICMP,1413,Normal
2025-12-06 11:22:25.479353,187.217.124.76,165.62.115.196,11781,TCP,698,Normal
2025-12-06 11:22:26.479353,46.123.209.68,85.205.250.157,24014,UDP,1260,Normal
2025-12-06 11:22:27.479353,62.226.98.142,18.193.89.216,15882,ICMP,763,Normal
2025-12-06 11:22:28.479353,70.90.3.97,221.77.48.31,5605,ICMP,403,Normal
2025-12-06 11:22:29.479353,234.199.14.93,208.38.131.197,52338,ICMP,325,Normal
2025-12-06 11:22:30.479353,16.152.231.63,66.53.45.141,59677,UDP,894,Normal
2025-12-06 11:22:31.479353,15.156.147.128,235.50.216.249,22286,ICMP,1019,Normal
2025-12-06 11:22:32.479353,66.221.214.9,186.254.128.255,14072,TCP,1413,Normal
2025-12-06 11:22:33.479353,110.142.102.117,115.78.253.10,58884,UDP,822,DoS
2025-12-06 11:22:34.479353,33.69.80.58,130.141.114.255,47470,TCP,742,Normal
2025-12-06 11:22:35.479353,226.131.185.222,203.22.11.205,443,TCP,360,XSS
2025-12-06 11:22:36.479353,118.87.189.80,161.157.193.243,12334,TCP,107,Normal
2025-12-06 11:22:37.479353,33.238.127.18,78.243.89.161,19193,ICMP,1264,Normal
2025-12-06 11:22:38.479353,144.117.7.69,5.29.216.17,23255,ICMP,983,Normal
2025-12-06 11:22:39.479353,197.231.76.199,20.243.7.57,73,TCP,175,PortScan
2025-12-06 11:22:40.479353,255.251.69.191,134.25.51.113,42436,UDP,913,Normal
2025-12-06 11:22:41.479353,98.90.249.83,26.232.154.45,26253,ICMP,1014,Normal
2025-12-06 11:22:42.479353,151.250.245.226,251.67.88.18,51903,ICMP,1433,Normal
2025-12-06 11:22:43.479353,204.66.207.29,44.190.36.52,27640,TCP,969,Normal
2025-12-06 11:22:44.479353,131.175.61.164,10.243.72.223,24181,ICMP,259,Normal
2025-12-06 11:22:45.479353,63.27.175.166,179.96.6.180,42253,TCP,530,Normal
2025-12-06 11:22:46.479353,39.72.26.103,135.143.151.84,47639,UDP,1055,Normal
2025-12-06 11:22:47.479353,39.26.148.123,142.27.119.6,105,TCP,82,PortScan
2025-12-06 11:22:48.479353,125.147.204.96,237.64.42.206,15218,UDP,512,Normal
2025-12-06 11:22:49.479353,238.147.46.237,243.99.17.117,23951,ICMP,329,Normal
2025-12-06 11:22:50.479353,255.210.232.189,65.180.92.133,22090,ICMP,93,Normal
2025-12-06 11:22:51.479353,78.3.10.179,130.77.48.153,61748,TCP,731,Normal
2025-12-06 11:22:52.479353,203.252.247.116,192.128.159.227,24708,UDP,418,Normal
2025-12-06 11:22:53.479353,113.142.233.168,134.214.90.14,3646,UDP,957,Normal
2025-12-06 11:22:54.479353,151.214.232.38,255.20.79.28,49241,TCP,1119,Normal
